"taxon_id","taxon_full","degreeOfEstablishment","locality"
"AngMaApPtTs00075-00","Pittosporum crassifolium NA","established (category C3)","L48"
"AngMaApPtTs00054-00","Pittosporum crassifolium NA","established (category C3)","L48"
"AngMaApPtTs00063-00","Pittosporum eugenioides NA","established (category C3)","L48"
"AngMaApPtTs00132-00","Pittosporum pentandrum NA","invasive (category D2)","HI"
"AngMaApPtTs00132-00","Pittosporum pentandrum NA","invasive (category D2)","L48"
"AngMaApPtTs00145-00","Pittosporum senacia NA","established (category C3)","HI"
"AngMaApPtTs00153-00","Pittosporum tenuifolium NA","established (category C3)","L48"
"AngMaApPtTs00161-00","Pittosporum undulatum NA","invasive (category D2)","HI"
"AngMaApPtTs00164-00","Pittosporum undulatum NA","invasive (category D2)","HI"
"AngMaApPtTs00161-00","Pittosporum undulatum NA","invasive (category D2)","L48"
"AngMaApPtTs00164-00","Pittosporum undulatum NA","invasive (category D2)","L48"
"AngMaApPtTs00167-00","Pittosporum viridiflorum NA","established (category C3)","HI"
"GymPiPiCpRs50460-00","Platycladus orientalis NA","established (category C3)","L48"
"AngMaFaFbCx12784-00","Platymiscium stipulare NA","invasive (category D2)","HI"
"AngMaApRlCx00700-00","Plerandra elegantissima NA","established (category C3)","HI"
"GymPiPiPdCr50550-00","Podocarpus elatus NA","established (category C3)","HI"
"GymPiPiPdCr50573-00","Podocarpus macrophyllus NA","invasive (category D2)","HI"
"GymPiPiPdCr50573-00","Podocarpus macrophyllus NA","invasive (category D2)","L48"
"AngMaMaNnNc25948-00","Polyalthia suberosa NA","widespread invasive (category E)","HI"
"AngMaMaNnNc25948-00","Polyalthia suberosa NA","invasive (category D2)","L48"
"AngMaApRlCx00895-00","Polyscias guilfoylei NA","established (category C3)","L48"
"AngMaMaSlCc32499-00","Populus alba NA","widespread invasive (category E)","L48"
"AngMaMaSlCc32525-00","Populus nigra NA","established (category C3)","L48"
"AngMaMaSlCc32535-00","Populus simonii NA","established (category C3)","L48"
"AngMaMaSlCc32538-00","Populus tremula NA","established (category C3)","L48"
"AngMaErSpTc08108-00","Pouteria campechiana NA","invasive (category D2)","L48"
"AngMaErSpTc08133-00","Pouteria dominigensis NA","established (category C3)","L48"
"AngMaLaLmCx21159-00","Premna odorata NA","established (category C3)","L48"
"AngMaFaFbCx12842-00","Prosopis juliflora NA","widespread invasive (category E)","HI"
"AngMaFaFbCx12845-00","Prosopis laevigata NA","established (category C3)","L48"
"AngMaFaFbCx12848-00","Prosopis pallida NA","widespread invasive (category E)","HI"
"AngMaRoRsCx44384-00","Prunus armeniaca NA","established (category C3)","L48"
"AngMaRoRsCx44385-00","Prunus avium NA","invasive (category D2)","AK"
"AngMaRoRsCx44385-00","Prunus avium NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44397-00","Prunus campanulata NA","established (category C3)","HI"
"AngMaRoRsCx44400-00","Prunus cerasifera NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44401-00","Prunus cerasoides NA","established (category C3)","L48"
"AngMaRoRsCx44402-00","Prunus cerasus NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44423-00","Prunus domestica NA","widespread invasive (category E)","L48"
NA,"Prunus dulcis NA","established (category C3)","L48"
"AngMaRoRsCx44456-00","Prunus laurocerasus NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44462-00","Prunus lusitanica NA","established (category C3)","L48"
NA,"Prunus maackii NA","invasive (category D2)","AK"
"AngMaRoRsCx44463-00","Prunus mahaleb NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44475-00","Prunus mume NA","established (category C3)","L48"
"AngMaRoRsCx44491-00","Prunus padus NA","widespread invasive (category E)","AK"
"AngMaRoRsCx44491-00","Prunus padus NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44495-00","Prunus persica NA","widespread invasive (category E)","HI"
"AngMaRoRsCx44495-00","Prunus persica NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44525-00","Prunus serrulata NA","established (category C3)","L48"
"AngMaRoRsCx44529-00","Prunus spinosa NA","established (category C3)","L48"
"AngMaRoRsCx44549-00","Prunus triloba NA","established (category C3)","L48"
"AngMaRoRsCx44560-00","Prunus virginiana NA","widespread invasive (category E)","AK"
"AngMaMyMyRt39808-00","Psidium guajava NA","widespread invasive (category E)","HI"
"AngMaMyMyRt39808-00","Psidium guajava NA","widespread invasive (category E)","L48"
"AngMaGeRbCx18870-00","Psychotria punctata NA","established (category C3)","L48"
"AngMaFaJgLn15026-00","Pterocarya stenoptera NA","established (category C3)","L48"
"AngNAPaRcCx50191-00","Ptychosperma elegans NA","invasive (category D2)","L48"
"AngNAPaRcCx50192-00","Ptychosperma macarthurii NA","invasive (category D2)","HI"
"AngNAPaRcCx50192-00","Ptychosperma macarthurii NA","invasive (category D2)","L48"
"AngMaMyLyTh35796-00","Punica granatum NA","established (category C3)","L48"
"AngMaRoRsCx44571-00","Pyracantha angustifolia NA","invasive (category D2)","HI"
"AngMaRoRsCx44571-00","Pyracantha angustifolia NA","invasive (category D2)","L48"
"AngMaRoRsCx44573-00","Pyracantha crenulata NA","invasive (category D2)","L48"
"AngMaRoRsCx44574-00","Pyracantha koidzumii NA","invasive (category D2)","HI"
"AngMaRoRsCx44574-00","Pyracantha koidzumii NA","invasive (category D2)","L48"
"AngMaRoRsCx44583-00","Pyrus calleryana NA","widespread invasive (category E)","L48"
"AngMaRoRsCx44585-00","Pyrus communis NA","established (category C3)","L48"
"AngMaRoRsCx44587-00","Pyrus cordata NA","established (category C3)","L48"
"AngMaRoRsCx44608-00","Pyrus pyrifolia NA","established (category C3)","L48"
"AngMaBrCpPr02714-00","Quadrella incana NA","established (category C3)","L48"
"AngMaFaFgCx14598-00","Quercus acutissima NA","established (category C3)","L48"
"AngMaFaFgCx14652-00","Quercus cerris NA","invasive (category D2)","L48"
"AngMaFaFgCx14759-00","Quercus ilex NA","invasive (category D2)","L48"
"AngMaFaFgCx14888-00","Quercus robur NA","established (category C3)","L48"
"AngMaFaFgCx14925-00","Quercus suber NA","invasive (category D2)","HI"
"AngMaFaFgCx14925-00","Quercus suber NA","invasive (category D2)","L48"
"AngMaLaBgNn20242-00","Radermachera sinica NA","established (category C3)","L48"
"AngMaGePcYn15725-00","Rauvolfia vomitoria NA","established (category C3)","HI"
"AngMaRoRhMn44053-00","Rhamnus arguta NA","established (category C3)","L48"
"AngMaRoRhMn44054-00","Rhamnus cathartica NA","widespread invasive (category E)","L48"
"AngMaRoRhMn44056-00","Rhamnus davurica NA","established (category C3)","L48"
"AngMaRoRhMn44081-00","Rhamnus utilis NA","established (category C3)","L48"
"AngMaMaRhZp31883-00","Rhizophora mangle NA","widespread invasive (category E)","HI"
"AngMaMyMyRt39887-00","Rhodomyrtus tomentosa NA","widespread invasive (category E)","HI"
"AngMaMyMyRt39887-00","Rhodomyrtus tomentosa NA","invasive (category D2)","L48"
NA,"Rhus taitensis NA","established (category C3)","HI"
"AngMaMaPhRb30426-00","Ricinus communis NA","widespread invasive (category E)","HI"
"AngMaMaPhRb30426-00","Ricinus communis NA","widespread invasive (category E)","L48"
"AngNAPaRcCx50242-00","Roystonea regia NA","established (category C3)","HI"
"AngMaMaSlCc32565-00","Salix alba NA","widespread invasive (category E)","L48"
"AngMaMaSlCc32570-00","Salix atrocinerea NA","established (category C3)","L48"
"AngMaMaSlCc32571-00","Salix babylonica NA","widespread invasive (category E)","L48"
"AngMaMaSlCc32583-00","Salix caprea NA","widespread invasive (category E)","L48"
"AngMaMaSlCc32593-00","Salix cinerea NA","invasive (category D2)","L48"
"AngMaMaSlCc32596-00","Salix daphnoides NA","established (category C3)","L48"
"AngMaMaSlCc32602-00","Salix eleagnos NA","established (category C3)","L48"
"AngMaMaSlCc32657-00","Salix pentandra NA","invasive (category D2)","AK"
"AngMaMaSlCc32657-00","Salix pentandra NA","invasive (category D2)","L48"
"AngMaMaSlCc32673-00","Salix purpurea NA","established (category C3)","L48"
"AngMaMaSlCc32705-00","Salix viminalis NA","established (category C3)","L48"
"AngMaFaFbCx12938-00","Samanea saman NA","widespread invasive (category E)","HI"
"AngMaFaFbCx12938-00","Samanea saman NA","invasive (category D2)","L48"
"AngMaSaMlCx46214-00","Sandoricum koetjape NA","established (category C3)","HI"
"AngMaSaSnTl45212-00","Santalum album NA","widespread invasive (category E)","HI"
"AngMaSaSnTl45212-00","Santalum album NA","invasive (category D2)","L48"
"AngMaSaSpNd48817-00","Sapindus mukorossi NA","established (category C3)","L48"
"AngNAPaRcCx50259-00","Saribus rotundifolius NA","established (category C3)","L48"
"AngMaSaNcRd46816-00","Schinus molle NA","widespread invasive (category E)","HI"
"AngMaSaNcRd46816-00","Schinus molle NA","widespread invasive (category E)","L48"
"AngMaSaNcRd46821-00","Schinus polygama NA","established (category C3)","L48"
"AngMaSaNcRd46824-00","Schinus terebinthifolia NA","invasive (category D2)","HI"
"AngMaSaNcRd46824-00","Schinus terebinthifolia NA","invasive (category D2)","L48"
"AngMaSaNcRd46846-00","Searsia lancea NA","established (category C3)","L48"
"AngMaFaFbCx13079-00","Senna alata NA","widespread invasive (category E)","HI"
"AngMaFaFbCx13079-00","Senna alata NA","widespread invasive (category E)","L48"
"AngMaFaFbCx13086-00","Senna atomaria NA","established (category C3)","L48"
"AngMaFaFbCx13101-00","Senna corymbosa NA","established (category C3)","L48"
"AngMaFaFbCx13105-00","Senna didymobotrya NA","invasive (category D2)","HI"
"AngMaFaFbCx13105-00","Senna didymobotrya NA","invasive (category D2)","L48"
"AngMaFaFbCx13136-00","Senna multiglandulosa NA","established (category C3)","L48"
"AngMaFaFbCx13137-00","Senna multijuga NA","invasive (category D2)","HI"
"AngMaFaFbCx13162-00","Senna septemtrionalis NA","widespread invasive (category E)","HI"
"AngMaFaFbCx13163-00","Senna siamea NA","invasive (category D2)","HI"
"AngMaFaFbCx13163-00","Senna siamea NA","invasive (category D2)","L48"
"AngMaFaFbCx13169-00","Senna spectabilis NA","invasive (category D2)","HI"
"AngMaFaFbCx13169-00","Senna spectabilis NA","invasive (category D2)","L48"
"AngMaFaFbCx13173-00","Senna surattensis NA","widespread invasive (category E)","HI"
"AngMaFaFbCx13173-00","Senna surattensis NA","invasive (category D2)","L48"
"AngMaFaFbCx13209-00","Sesbania grandiflora NA","established (category C3)","L48"
"AngMaFaFbCx13214-00","Sesbania punicea NA","invasive (category D2)","L48"
"AngMaFaFbCx13215-00","Sesbania sesban NA","invasive (category D2)","HI"
"AngMaFaFbCx13216-00","Sesbania virgata NA","established (category C3)","L48"
"AngMaErSpTc08413-00","Sideroxylon persimile NA","established (category C3)","HI"
"AngMaSoSlNc49308-00","Solanum chrysotrichum NA","invasive (category D2)","L48"
"AngMaSoSlNc49362-00","Solanum lanceolatum NA","established (category C3)","L48"
"AngMaSoSlNc49376-00","Solanum mauritianum NA","invasive (category D2)","HI"
"AngMaSoSlNc49376-00","Solanum mauritianum NA","invasive (category D2)","L48"
"AngMaSoSlNc49445-00","Solanum tampicense NA","invasive (category D2)","L48"
"AngMaSoSlNc49451-00","Solanum torvum NA","widespread invasive (category E)","HI"
"AngMaSoSlNc49451-00","Solanum torvum NA","invasive (category D2)","L48"
"AngMaSoSlNc49456-00","Solanum umbellatum NA","established (category C3)","L48"
"AngMaFaFbCx13257-00","Sophora tomentosa NA","established (category C3)","HI"
"AngMaRoRsCx44648-00","Sorbus alnifolia NA","established (category C3)","L48"
"AngMaRoRsCx44654-00","Sorbus aucuparia NA","widespread invasive (category E)","AK"
"AngMaRoRsCx44654-00","Sorbus aucuparia NA","widespread invasive (category E)","L48"
NA,"Sorbus hybrida NA","established (category C3)","L48"
"AngMaRoRsCx44682-00","Sorbus intermedia NA","established (category C3)","L48"
"AngMaLaBgNn20267-00","Spathodea campanulata NA","widespread invasive (category E)","HI"
"AngMaLaBgNn20267-00","Spathodea campanulata NA","invasive (category D2)","L48"
"AngMaRoRsCx44728-00","Spiraea cantoniensis NA","established (category C3)","L48"
"AngMaSaNcRd46954-00","Spondias purpurea NA","established (category C3)","L48"
"AngMaMaMlVc34869-00","Sterculia apetala NA","widespread invasive (category E)","HI"
"AngMaMaMlVc34893-00","Sterculia foetida NA","established (category C3)","HI"
"AngMaGeLgNc15295-00","Strychnos spinosa NA","established (category C3)","L48"
"AngMaFaFbCx13301-00","Styphnolobium japonicum NA","widespread invasive (category E)","L48"
"AngMaErStYr08545-00","Styrax japonicus NA","established (category C3)","L48"
"AngMaSaMlCx46219-00","Swietenia macrophylla NA","established (category C3)","HI"
"AngMaSaMlCx46220-00","Swietenia mahagoni NA","established (category C3)","HI"
"AngNAPaRcCx50284-00","Syagrus romanzoffiana NA","widespread invasive (category E)","HI"
"AngNAPaRcCx50284-00","Syagrus romanzoffiana NA","invasive (category D2)","L48"
"AngMaErSyMp08764-00","Symplocos paniculata NA","established (category C3)","L48"
"AngMaMyMyRt39915-00","Syncarpia glomulifera NA","established (category C3)","HI"
"AngMaLaLcXx20846-00","Syringa reticulata NA","established (category C3)","L48"
"AngMaLaLcXx20848-00","Syringa villosa NA","established (category C3)","L48"
"AngMaLaLcXx20849-00","Syringa vulgaris NA","widespread invasive (category E)","L48"
"AngMaMyMyRt40134-00","Syzygium cumini NA","widespread invasive (category E)","HI"
"AngMaMyMyRt40134-00","Syzygium cumini NA","invasive (category D2)","L48"
"AngMaMyMyRt40249-00","Syzygium grande NA","invasive (category D2)","HI"
"AngMaMyMyRt40306-00","Syzygium jambos NA","widespread invasive (category E)","HI"
"AngMaMyMyRt40306-00","Syzygium jambos NA","invasive (category D2)","L48"
"AngMaMyMyRt40387-00","Syzygium malaccense NA","widespread invasive (category E)","HI"
"AngMaMyMyRt40448-00","Syzygium nervosum NA","invasive (category D2)","L48"
"AngMaMyMyRt40704-00","Syzygium syzygioides NA","established (category C3)","HI"
"AngMaLaBgNn20299-00","Tabebuia aurea NA","widespread invasive (category E)","HI"
"AngMaLaBgNn20299-00","Tabebuia aurea NA","invasive (category D2)","L48"
"AngMaLaBgNn20318-00","Tabebuia heterophylla NA","widespread invasive (category E)","HI"
"AngMaLaBgNn20338-00","Tabebuia pallida NA","established (category C3)","HI"
"AngMaLaBgNn20350-00","Tabebuia rosea NA","invasive (category D2)","HI"
"AngMaGePcYn15743-00","Tabernaemontana alba NA","established (category C3)","L48"
"AngMaGePcYn15781-00","Tabernaemontana divaricata NA","established (category C3)","L48"
"AngMaGePcYn15801-00","Tabernaemontana litoralis NA","established (category C3)","HI"
"AngMaGePcYn15817-00","Tabernaemontana pandacaqui NA","established (category C3)","HI"
"AngMaFaFbCx13557-00","Tamarindus indica NA","widespread invasive (category E)","HI"
"AngMaFaFbCx13557-00","Tamarindus indica NA","invasive (category D2)","L48"
"AngMaCaTmRc03532-00","Tamarix africana NA","invasive (category D2)","L48"
"AngMaCaTmRc03535-00","Tamarix aphylla NA","invasive (category D2)","L48"
"AngMaCaTmRc03536-00","Tamarix aralensis NA","established (category C3)","L48"
"AngMaCaTmRc03541-00","Tamarix canariensis NA","established (category C3)","L48"
"AngMaCaTmRc03542-00","Tamarix chinensis NA","widespread invasive (category E)","L48"
"AngMaCaTmRc03548-00","Tamarix gallica NA","widespread invasive (category E)","L48"
"AngMaCaTmRc03561-00","Tamarix parviflora NA","widespread invasive (category E)","L48"
"AngMaCaTmRc03564-00","Tamarix ramosissima NA","widespread invasive (category E)","L48"
"AngMaCaTmRc03570-00","Tamarix tetragyna NA","established (category C3)","L48"
"AngMaFaFbCx13559-00","Tara spinosa NA","established (category C3)","L48"
"GymPiPiTxCx50907-00","Taxus baccata NA","established (category C3)","L48"
"GymPiPiTxCx50911-00","Taxus cuspidata NA","established (category C3)","L48"
NA,"Tecoma capensis NA","widespread invasive (category E)","L48"
"AngMaLaBgNn20360-00","Tecoma castanifolia NA","established (category C3)","HI"
"AngMaLaBgNn20362-00","Tecoma stans NA","invasive (category D2)","HI"
"AngMaMyCmBr35533-00","Terminalia catappa NA","widespread invasive (category E)","HI"
"AngMaMyCmBr35533-00","Terminalia catappa NA","invasive (category D2)","L48"
"AngMaMyCmBr35623-00","Terminalia muelleri NA","established (category C3)","L48"
"AngMaMyCmBr35624-00","Terminalia myriocarpa NA","established (category C3)","HI"
"AngMaSaRtCx47612-00","Tetradium daniellii NA","established (category C3)","L48"
"AngMaApRlCx01101-00","Tetrapanax papyrifer NA","widespread invasive (category E)","HI"
"AngMaApRlCx01015-00","Tetrapanax papyrifer NA","widespread invasive (category E)","HI"
"AngMaApRlCx01101-00","Tetrapanax papyrifer NA","invasive (category D2)","L48"
"AngMaApRlCx01015-00","Tetrapanax papyrifer NA","invasive (category D2)","L48"
"AngMaMaMlVc35002-00","Thespesia populnea NA","invasive (category D2)","L48"
"AngMaMyMlSt37200-00","Tibouchina longifolia NA","established (category C3)","HI"
"AngMaMaMlVc35009-00","Tilia cordata NA","established (category C3)","L48"
"AngMaMaMlVc35022-00","Tilia platyphyllos NA","established (category C3)","L48"
"AngMaSaMlCx46224-00","Toona ciliata NA","widespread invasive (category E)","HI"
"AngMaSaMlCx46224-00","Toona ciliata NA","invasive (category D2)","L48"
"AngMaMaPhRb30559-00","Triadica sebifera NA","widespread invasive (category E)","L48"
"AngMaCaPlYa03511-00","Triplaris melaenodendron NA","established (category C3)","L48"
"AngMaCaPlYa03520-00","Triplaris weigeltiana NA","established (category C3)","HI"
"AngMaMaMlVc35053-00","Triumfetta semitriloba NA","established (category C3)","HI"
"AngMaRoLmCa42967-00","Ulmus glabra NA","established (category C3)","L48"
"AngMaRoLmCa42979-00","Ulmus parvifolia NA","established (category C3)","L48"
"AngMaRoLmCa42982-00","Ulmus pumila NA","widespread invasive (category E)","L48"
"AngMaFaFbCx13636-00","Vachellia cornigera NA","established (category C3)","L48"
"AngMaFaFbCx13651-00","Vachellia farnesiana NA","widespread invasive (category E)","HI"
"AngMaFaFbCx13721-00","Vachellia sphaerocephala NA","established (category C3)","L48"
"AngMaGePcYn15850-00","Vallesia glabra NA","established (category C3)","L48"
"AngMaMaPhRb30610-00","Vernicia fordii NA","invasive (category D2)","L48"
"AngMaMaPhRb30611-00","Vernicia montana NA","established (category C3)","HI"
"AngMaDiVbRn04464-00","Viburnum rhytidophyllum NA","established (category C3)","L48"
"AngMaDiVbRn04478-00","Viburnum tinus NA","established (category C3)","L48"
NA,"Vitex agnus-castus NA","established (category C3)","L48"
"AngMaLaLmCx21285-00","Vitex glabrata NA","established (category C3)","L48"
"AngMaLaLmCx21323-00","Vitex negundo NA","established (category C3)","L48"
"AngMaLaLmCx21330-00","Vitex parviflora NA","established (category C3)","HI"
"AngMaLaLmCx21367-00","Vitex trifolia NA","widespread invasive (category E)","HI"
"AngMaLaLmCx21367-00","Vitex trifolia NA","invasive (category D2)","L48"
"AngNAPaRcCx50314-00","Washingtonia filifera NA","invasive (category D2)","HI"
"AngNAPaRcCx50315-00","Washingtonia robusta NA","widespread invasive (category E)","HI"
"AngNAPaRcCx50315-00","Washingtonia robusta NA","widespread invasive (category E)","L48"
"AngMaAsStRc02224-00","Wedelia fruticosa NA","established (category C3)","L48"
"AngMaBoNmCx02553-00","Wigandia urens NA","invasive (category D2)","L48"
NA,"Xylosma congesta NA","established (category C3)","L48"
"AngMaRoLmCa42993-00","Zelkova serrata NA","established (category C3)","L48"
"AngMaRoRhMn44123-00","Ziziphus jujuba NA","widespread invasive (category E)","L48"
"AngMaRoRhMn44127-00","Ziziphus mauritiana NA","invasive (category D2)","HI"
"AngMaRoRhMn44127-00","Ziziphus mauritiana NA","invasive (category D2)","L48"
